04_12_2019/Bat01_ch_1_rec_02_seq_01,04_12_2019/Bat01_ch_1_rec_02_seq_02,21_11_2019/Bat02_ch_1_rec_05_seq_01,21_11_2019/Bat02_ch_1_rec_05_seq_02,21_11_2019/Bat02_ch_1_rec_06_seq_01,04_12_2019/Bat03_ch_2_rec_01_seq_01,07_12_2019/Bat02_ch_2_rec_01_seq_01,07_12_2019/Bat02_ch_2_rec_01_seq_02,07_12_2019/Bat02_ch_2_rec_02_seq_01,07_12_2019/Bat02_ch_2_rec_03_seq_01,05_12_2019/Bat01_ch_1_rec_02_seq_02,05_12_2019/Bat02_ch_1_rec_02_seq_02,05_12_2019/Bat04_ch_2_rec_01_seq_03,05_12_2019/Bat05_ch_1_rec_01_seq_03,06_12_2019/Bat02_ch_2_rec_01_seq_02,06_12_2019/Bat02_ch_2_rec_02_seq_01,06_12_2019/Bat02_ch_2_rec_02_seq_02,06_12_2019/Bat02_ch_1_rec_03_seq_03,06_12_2019/Bat03_ch_1_rec_02_seq_03,06_12_2019/Bat04_ch_1_rec_07_seq_02,06_12_2019/Bat05_ch_2_rec_02_seq_02,06_12_2019/Bat05_ch_2_rec_03_seq_02,06_12_2019/Bat05_ch_2_rec_03_seq_03,06_12_2019/Bat05_ch_2_rec_05_seq_02,07_12_2019/Bat01_ch_1_rec_02_seq_04,07_12_2019/Bat02_ch_1_rec_04_seq_03,07_12_2019/Bat02_ch_2_rec_05_seq_02,07_12_2019/Bat05_ch_1_rec_01_seq_03
7.025006666666667,8.717281666666667,4.976031666666667,5.900581666666667,5.293269166666667,7.046531666666667,4.597806666666667,8.14325508211631,4.528106666666667,5.652019166666666,7.772231666666666,7.278041019139466,4.284156666666666,7.287406666666667,9.154956666666669,6.1148066666666665,9.376356666666666,6.4581816666666665,5.561306666666667,8.093056666666667,3.827006666666666,5.198657728749581,7.077281666666667,7.77008317932951,4.740722639257799,6.133256666666667,2.6816225871430417,5.740681666666666
7.046531666666667,8.734706666666666,5.001656666666666,5.928256666666667,5.319406666666667,7.070106666666667,4.6224066666666666,8.167881666666666,4.555781666666666,5.6755941666666665,7.792731666666667,7.303849024776015,4.310806666666666,7.315081666666667,9.19038223623486,6.152323494095103,9.401981666666666,6.477656666666666,5.588981666666666,8.123806666666667,3.8536566666666654,5.2199816666666665,7.100856666666667,7.790681666666667,4.763856666666666,6.156233709049452,2.7177817003022704,5.763231666666667
7.070106666666667,8.753156666666667,5.020106666666667,5.962081666666666,5.353231666666667,7.094706666666666,4.6418816666666665,8.183256666666667,4.584481666666667,5.690456666666666,7.830656666666667,7.331642261615375,4.340531666666666,7.337631666666667,9.205181666666666,6.17784897636049,9.423506666666666,6.500096225123913,5.617681666666667,8.155581666666667,3.8762066666666666,5.245143842428216,7.130069166666667,7.816306666666667,4.791531666666667,6.186556666666666,2.7486591452472293,5.782706666666667
7.092656666666667,8.779806666666667,5.036506666666667,5.985656666666666,5.379881666666667,7.124431666666666,4.666481666666667,8.203191242648927,4.613181666666667,5.706344166666667,7.857306666666667,7.361206666666667,4.377298187514189,7.358131666666667,9.233881666666669,6.221406666666667,9.467581666666666,6.5242676779568125,5.647406666666667,8.183256666666667,3.902856666666666,5.271138930248508,7.151175585164417,7.845006666666666,4.816131666666666,6.213206666666666,2.770231666666666,5.799106666666667
7.117256666666667,8.805431666666667,5.051881666666667,6.010256666666667,5.405506666666667,7.169531666666667,4.686981666666667,8.228356666666667,4.642906666666667,5.722231666666667,7.884981666666666,7.395031666666666,4.407720333239103,7.377606666666667,9.253356666666669,6.254846172864328,9.500381666666666,6.541206666666667,5.674056666666667,8.217081666666667,3.9346316666666654,5.307810571994992,7.177731666666666,7.871656666666666,4.847605111156972,6.241906666666667,2.7938066666666668,5.816531666666667
7.139806666666667,8.831056666666667,5.068281666666667,6.034856666666666,5.435231666666667,7.195156666666667,4.706456666666667,8.267306666666666,4.666481666666667,5.738631666666667,7.912656666666667,7.440131666666667,4.439956666666666,7.397081666666667,9.288206666666667,6.294181666666667,9.527031666666666,6.562731666666667,5.703781666666667,8.250906666666667,3.9641770326790393,5.333805659815284,7.2013066666666665,7.896256666666667,4.877631666666667,6.268076599228559,2.8194316666666666,5.836006666666667
7.165431666666667,8.859756666666666,5.090831666666666,6.052281666666667,5.456756666666666,7.212581666666667,4.729006666666667,8.300106666666666,4.691081666666666,5.759131666666667,7.939306666666667,7.467806666666666,4.4737816666666665,7.418606666666666,9.322031666666666,6.324931666666667,9.556756666666669,6.585281666666667,5.7253066666666665,8.290881666666667,3.999003992090234,5.366299519590649,7.220781666666666,7.923931666666666,4.9050352876050205,6.296527860765349,2.8409566666666666,5.854456666666667
7.1879816666666665,8.889481666666667,5.118506666666667,6.073806666666667,5.485504943815203,7.232056666666667,4.750531666666666,8.330856666666667,4.7146566666666665,5.775580456240552,7.969544166666667,7.494969166666666,4.508631666666667,7.438081666666666,9.355856666666666,6.363881666666667,9.584431666666667,6.607831666666667,5.750931666666666,8.334956666666667,4.0279066666666665,5.390437815423778,7.239231666666667,7.949556666666667,4.934006666666667,6.328903434238248,2.863506666666667,5.8770066666666665
7.214631666666666,8.918181666666667,5.143106666666666,6.095331666666667,5.555697909251768,7.251531666666667,4.772056666666667,8.355456666666667,4.742331666666667,5.793981666666666,7.998756666666667,7.524181666666666,4.543481666666667,7.460631666666667,9.393781666666667,6.3937637013471145,9.609031666666668,6.631406666666667,5.773481666666667,8.392356666666666,4.054556666666667,5.422931666666667,7.257681666666667,7.978256666666667,4.963731666666666,6.351468227870875,2.893231666666667,5.896481666666666
7.242306666666667,8.948931666666667,5.169756666666666,6.119327605116479,5.583856666666667,7.275106666666667,4.795631666666667,8.381081666666667,4.764881666666667,5.811406666666667,8.025406666666667,7.562106666666667,4.584481666666667,7.479721030949242,9.427606666666666,6.414106666666667,9.634656666666666,6.653956666666667,5.798081666666667,8.420031666666667,4.077106666666666,5.451631666666667,7.282281666666667,8.004906666666667,4.993456666666667,6.375995177471555,2.9239816666666667,5.921081666666667
